name,Age,team,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,ERA,WHIP,BABIP,K_per_9,pitcher_id,season
Josh Taylor,30,Kansas City,17,1,1.0,3.0,,17.2,22,17,16,9,26,4,8.15,1.755,0.409,13.2,657031,2023
Julio Teheran,32,Milwaukee,14,11,3.0,5.0,,71.2,68,36,35,13,50,13,4.4,1.13,0.266,6.3,527054,2023
Rowdy Tellez,28,Milwaukee,1,0,,,,1.0,1,0,0,0,1,0,0.0,1.0,0.333,9.0,642133,2023
Ryan Tepera,35,"Los Angeles,St. Louis",12,0,2.0,2.0,,10.2,18,11,9,4,11,3,7.59,2.063,0.441,9.3,572193,2023
Juan Then,23,Seattle,9,0,,,,11.0,14,6,6,2,5,3,4.91,1.455,0.289,4.1,672730,2023
Caleb Thielbar,36,Minnesota,40,0,3.0,2.0,,33.2,27,15,14,7,38,9,3.74,1.01,0.234,10.2,573204,2023
Lane Thomas,27,Washington,1,0,,,,1.0,3,3,3,0,1,1,27.0,3.0,0.5,9.0,657041,2023
Keegan Thompson,28,Chicago,19,0,2.0,2.0,1.0,28.2,20,15,15,19,26,2,4.71,1.36,0.234,8.2,624522,2023
Mason Thompson,25,Washington,51,0,4.0,4.0,1.0,54.0,62,35,33,22,44,4,5.5,1.556,0.352,7.3,666168,2023
Ryan Thompson,31,"Arizona,Tampa Bay",40,0,2.0,2.0,1.0,42.1,31,17,16,12,29,3,3.4,1.016,0.237,6.2,657044,2023
Zack Thompson,25,St. Louis,25,9,5.0,7.0,,66.1,69,35,33,25,72,8,4.48,1.417,0.341,9.8,668868,2023
Trent Thornton,29,"Seattle,Toronto",27,1,1.0,2.0,,31.1,30,12,7,6,26,5,2.01,1.149,0.284,7.5,663423,2023
Michael Tonkin,33,Atlanta,46,0,7.0,3.0,1.0,80.2,66,41,38,23,76,13,4.24,1.103,0.249,8.5,543859,2023
Justin Topa,32,Seattle,75,0,5.0,4.0,3.0,69.0,61,26,20,18,61,4,2.61,1.145,0.297,8.0,623437,2023
Touki Toussaint,27,"Chicago,Cleveland",20,16,4.0,7.0,,87.0,69,48,48,57,85,10,4.97,1.448,0.266,8.8,657053,2023
Alan Trejo,27,Colorado,2,0,,,,2.0,4,3,3,0,1,2,13.5,2.0,0.286,4.5,676701,2023
Spencer Turnbull,30,Detroit,7,7,1.0,4.0,,31.0,37,26,25,15,24,5,7.26,1.677,0.327,7.0,605513,2023
Edwin Uceta,25,New York,1,0,,,,3.0,0,0,0,2,3,0,0.0,0.667,0.0,9.0,670955,2023
Erich Uelmen,27,Philadelphia,1,0,,,,1.0,3,4,4,2,1,0,36.0,5.0,0.6,9.0,657272,2023
Duane Underwood Jr.,28,Pittsburgh,20,0,1.0,,2.0,24.1,24,14,14,11,14,3,5.18,1.438,0.292,5.2,621249,2023
Jos\xc3\xa9 Ure\xc3\xb1a,31,"Chicago,Colorado",10,10,,7.0,,44.2,50,37,32,22,29,13,6.45,1.612,0.27,5.8,570632,2023
Julio Ur\xc3\xadas,26,Los Angeles,21,21,11.0,8.0,,117.1,112,61,60,24,117,24,4.6,1.159,0.285,9.0,628711,2023
Abner Uribe,23,Milwaukee,34,0,1.0,,1.0,32.0,18,9,7,22,40,0,1.97,1.25,0.25,11.3,682842,2023
Jos\xc3\xa9 Urquidy,28,Houston,19,12,4.0,3.0,1.0,73.0,75,43,43,27,53,16,5.3,1.397,0.271,6.5,664353,2023
Framber Valdez,29,Houston,34,34,12.0,14.0,,210.0,185,99,88,63,217,23,3.77,1.181,0.295,9.3,664285,2023
Chris Vallimont,26,Baltimore,1,0,,,,0.2,1,0,0,0,1,0,0.0,1.5,1.0,13.5,681808,2023
Carlos Vargas,23,Arizona,5,0,,,,4.2,5,3,3,4,7,2,5.79,1.929,0.375,13.5,672841,2023
Ildemaro Vargas,31,Washington,2,0,,,,2.0,2,1,1,1,0,1,4.5,1.5,0.143,0.0,545121,2023
Gus Varland,26,"Los Angeles,Milwaukee",16,0,1.0,1.0,,20.1,27,18,15,16,20,3,6.64,2.115,0.387,8.9,681402,2023
Louis Varland,25,Minnesota,19,10,4.0,3.0,,68.2,68,35,35,17,72,16,4.59,1.238,0.291,9.4,686973,2023
Andrew Vasquez,29,"Detroit,Philadelphia",42,0,2.0,1.0,,48.1,46,21,18,23,43,4,3.35,1.428,0.3,8.0,607755,2023
Randy V\xc3\xa1squez,24,New York,11,5,2.0,2.0,,37.2,30,12,12,18,33,5,2.87,1.274,0.238,7.9,681190,2023
